% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.173	1	0	18	4	1	14	157	0
0.173	1	0	18	4	2	8	85	0
0.173	1	0	18	4	3	12	125	0
0.173	1	0	18	4	4	2	26	0
0.173	1	0	18	4	6	28	469	0
0.174	1	0	18	5	1	14	157	0
0.174	1	0	18	5	2	8	85	0
0.174	1	0	18	5	3	12	125	0
0.174	1	0	18	5	4	2	26	0
0.174	1	0	18	5	6	28	469	0
0.175	1	0	18	6	1	14	157	0
0.175	1	0	18	6	2	8	85	0
0.175	1	0	18	6	3	12	125	0
0.175	1	0	18	6	4	2	26	0
0.175	1	0	18	6	6	28	469	0
0.176	1	0	18	7	1	14	157	0
0.176	1	0	18	7	2	8	85	0
0.176	1	0	18	7	3	12	125	0
0.176	1	0	18	7	4	2	26	0
0.176	1	0	18	7	6	28	469	0
0.177	1	0	18	8	1	14	157	0
0.177	1	0	18	8	2	8	85	0
0.177	1	0	18	8	3	12	125	0
0.177	1	0	18	8	4	2	26	0
0.177	1	0	18	8	6	28	469	0
0.178	1	0	18	9	1	14	157	0
0.178	1	0	18	9	2	8	85	0
0.178	1	0	18	9	3	12	125	0
0.178	1	0	18	9	4	2	26	0
0.178	1	0	18	9	6	28	469	0
0.179	1	0	18	10	1	14	157	0
0.179	1	0	18	10	2	8	85	0
0.179	1	0	18	10	3	12	125	0
0.179	1	0	18	10	4	2	26	0
0.179	1	0	18	10	6	28	469	0
0.18	1	0	19	1	1	14	157	0
0.18	1	0	19	1	2	8	85	0
0.18	1	0	19	1	3	12	125	0
0.18	1	0	19	1	4	2	26	0
0.18	1	0	19	1	6	28	469	0
0.181	1	0	19	2	1	14	157	0
0.181	1	0	19	2	2	8	85	0
0.181	1	0	19	2	3	12	125	0
0.181	1	0	19	2	4	2	26	0
0.181	1	0	19	2	6	28	469	0
0.182	1	0	19	3	1	14	157	0
0.182	1	0	19	3	2	8	85	0
0.182	1	0	19	3	3	12	125	0
0.182	1	0	19	3	4	2	26	0
