% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.27	1	14	28	1	19	8	421	0	0	1
0.271	1	12	28	2	20	8	421	0	0	0
0.271	1	12	28	2	20	8	421	0	0	1
0.272	1	9	28	3	21	8	421	0	0	0
0.272	1	9	28	3	21	8	421	0	0	1
0.273	1	4	28	4	22	8	421	0	0	0
0.273	1	4	28	4	22	8	421	0	0	1
0.274	1	10	28	5	23	8	421	0	0	0
0.274	1	10	28	5	23	8	421	0	0	1
0.275	1	1	28	6	24	8	421	0	0	0
0.275	1	1	28	6	24	8	421	0	0	1
0.276	1	7	28	7	1	8	421	0	0	0
0.276	1	7	28	7	1	8	421	0	0	1
0.277	1	8	28	8	2	8	421	0	0	0
0.277	1	8	28	8	2	8	421	0	0	1
0.278	1	13	28	9	3	8	421	0	0	0
0.278	1	13	28	9	3	8	421	0	0	1
0.279	1	5	28	10	4	8	421	0	0	0
0.279	1	5	28	10	4	8	421	0	0	1
0.28	1	11	29	1	9	8	421	0	0	0
0.28	1	11	29	1	9	8	421	0	0	1
0.281	1	3	29	2	10	8	421	0	0	0
0.281	1	3	29	2	10	8	421	0	0	1
0.282	1	2	29	3	11	8	421	0	0	0
0.282	1	2	29	3	11	8	421	0	0	1
0.283	1	6	29	4	12	8	421	0	0	0
0.283	1	6	29	4	12	8	421	0	0	1
0.284	1	15	29	5	18	8	421	0	0	0
0.284	1	15	29	5	18	8	421	0	0	1
0.285	1	14	29	6	19	8	421	0	0	0
0.285	1	14	29	6	19	8	421	0	0	1
0.286	1	12	29	7	20	8	421	0	0	0
0.286	1	12	29	7	20	8	421	0	0	1
0.287	1	9	29	8	21	8	421	0	0	0
0.287	1	9	29	8	21	8	421	0	0	1
0.288	1	4	29	9	22	8	421	0	0	0
0.288	1	4	29	9	22	8	421	0	0	1
0.289	1	10	29	10	23	8	421	0	0	0
0.289	1	10	29	10	23	8	421	0	0	1
0.29	1	1	30	1	24	8	421	0	0	0
0.29	1	1	30	1	24	8	421	0	0	1
0.291	1	7	30	2	1	8	421	0	0	0
0.291	1	7	30	2	1	8	421	0	0	1
0.292	1	8	30	3	2	8	421	0	0	0
0.292	1	8	30	3	2	8	421	0	0	1
0.293	1	13	30	4	3	8	421	0	0	0
0.293	1	13	30	4	3	8	421	0	0	1
0.294	1	5	30	5	4	8	421	0	0	0
0.294	1	5	30	5	4	8	421	0	0	1
0.295	1	11	30	6	9	8	421	0	0	0
0.295	1	11	30	6	9	8	421	0	0	1
0.296	1	3	30	7	10	8	421	0	0	0
0.296	1	3	30	7	10	8	421	0	0	1
0.297	1	2	30	8	11	8	421	0	0	0
0.297	1	2	30	8	11	8	421	0	0	1
0.298	1	6	30	9	12	8	421	0	0	0
0.298	1	6	30	9	12	8	421	0	0	1
0.299	1	15	30	10	18	8	421	0	0	0
0.299	1	15	30	10	18	8	421	0	0	1
0.3	1	14	31	1	19	8	421	0	0	0
0.3	1	14	31	1	19	8	421	0	0	1
0.301	1	12	31	2	20	8	421	0	0	0
0.301	1	12	31	2	20	8	421	0	0	1
0.302	1	9	31	3	21	8	421	0	0	0
0.302	1	9	31	3	21	8	421	0	0	1
0.303	1	4	31	4	22	8	421	0	0	0
0.303	1	4	31	4	22	8	421	0	0	1
0.304	1	10	31	5	23	8	421	0	0	0
0.304	1	10	31	5	23	8	421	0	0	1
0.305	1	1	31	6	24	8	421	0	0	0
